STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
4,Arizona,40107,1,1,573TR382*K3******,2022-09-06 03:12:19,0,6,TRAILER,12235,"GRAND DESIGN RV, LLC",1336,GRAND DESIGN RECREATIONAL,18130,Reflection,2019,Narrow Body,,6,UNITED STATES (USA),INDIANA,MIDDLEBURY,Plant 3,Plant Line 3,61,Trailer,,,,,21,Travel Trailer,,,38.000,Narrow Body,2,,
4,Arizona,40107,4,1,2SFFH331*M1******,2022-09-06 03:12:19,0,6,TRAILER,16005,SOUTHLAND TRAILER CORP.,6059,STC,24510,STC,2021,,,1,CANADA,ALBERTA,LETHBRIDGE,,,61,Trailer,15,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,5,Enclosed Trailer,14,Bumper Pull,,Length: 14-18 ft,2,,
4,Arizona,40111,1,1,1GR1A062*LE******,2022-09-06 03:12:19,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2020,,,6,UNITED STATES (USA),GEORGIA,STATESBORO,,,61,Trailer,,,,,,,6,Kingpin,53.000,"Semitrailer - dry freight, reefer, or insulated van",2,,
4,Arizona,40270,1,1,1GRAA062*6S******,2022-09-06 03:12:19,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2006,,,6,UNITED STATES (USA),GEORGIA,SAVANNAH,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,6.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
4,Arizona,40270,3,1,3H3V532C*ET******,2022-09-06 03:12:19,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2014,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40283,1,1,5DN11482*LB******,2022-09-06 03:12:19,0,6,TRAILER,8543,WESTERN TRAILER COMPANY,3808,WESTERN TRAILER COMPANY,8295,Western Trailer Company,2020,,,6,UNITED STATES (USA),IDAHO,BOISE,Western Trailer Company,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
4,Arizona,40397,2,1,1JJV281D*CL******,2022-09-06 03:12:19,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2012,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,28.000,,1,,
4,Arizona,40400,1,1,1UYVS253*6P******,2022-09-06 03:12:19,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2006,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40400,2,1,3H3V532C*ET******,2022-09-06 03:12:19,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2014,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40400,3,1,1DW1A532*LS******,2022-09-06 03:12:19,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2020,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40400,4,1,5MAPA482*LH******,2022-09-06 03:12:19,1,6,TRAILER,5950,"MAC TRAILER MFG, INC.",6826,MAC TRAILER MANUFACTURING,18288,MAC TRAILER MANUFACTURING,2020,,,6,UNITED STATES (USA),OKLAHOMA,,OKLAHOMA 90,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Body with Aluminum Frame,2,,
4,Arizona,40409,2,1,1UYFS253*L5******,2022-09-06 03:12:19,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2020,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40439,2,1,3H3V532C*GT******,2022-09-06 03:12:19,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2016,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40457,3,1,1UYVS253*9U******,2022-09-06 03:12:19,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2009,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40519,1,1,1JJV532D*EL******,2022-09-06 03:12:19,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2014,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40532,1,1,1PMA1432*A1******,2022-09-06 03:12:19,0,6,TRAILER,6179,"POLAR TANK TRAILER, LLC",2921,POLAR TANK TRAILER,6874,Polar Tank Trailer,2010,,,6,UNITED STATES (USA),MINNESOTA,OPOLE,,,61,Trailer,,,,,15,Tank Trailer,30,Other,43.000,Vessel Code: Non-Code,2,,
4,Arizona,40533,2,1,LJRC5426*C1******,2022-09-06 03:12:19,0,6,TRAILER,9950,"CIMC VEHICLES GROUP CO., LTD.",4101,CIMC VEHICLES GROUP CO,8811,CIMC VEHICLES GROUP CO,2012,,,8,CHINA,,SHENZHEN,,"GVWR = 30,000-34,990kg",61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,109,Container Chassis/Container Trailer,,,54.000,,2,,
4,Arizona,40602,1,1,591SD382*GR******,2022-09-06 03:12:19,0,6,TRAILER,7719,"DRAGON ESP, LTD",1415,DRAGON ESP,4763,Dragon ESP,2016,,,6,UNITED STATES (USA),COLORADO,LAMAR,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,38.000,,2,,
4,Arizona,40607,3,1,3H3V532C*MR******,2022-09-06 03:12:19,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2021,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,Trailer Type: SEMITRAILER,61,Trailer,,,,,36,Van Trailer,6,Kingpin,53.000,Material: ALUMINUM/STEEL,2,,
4,Arizona,40629,1,1,1PTF71TH*D9******,2022-09-06 03:12:19,0,6,TRAILER,3233,TRAILMOBILE (PULLMAN INCORPORATED),6072,TRAILMOBILE,15904,Trailmobile Trailer,2013,Eastern Series Platforms,,6,UNITED STATES (USA),ILLINOIS,CHARLESTON,,,61,Trailer,,,,,,,,,,Straight Frame,,3,Tandem
4,Arizona,40651,1,1,1JJV532D*LL******,2022-09-06 03:12:19,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2020,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40713,2,1,1UYVS253*4P******,2022-09-06 03:12:19,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2004,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40724,2,1,3H3V532C*KR******,2022-09-06 03:12:19,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2019,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40724,3,1,3H3V532C*KR******,2022-09-06 03:12:19,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2019,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40724,4,1,1GRAA062*JL******,2022-09-06 03:12:19,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2018,,,6,UNITED STATES (USA),PENNSYLVANIA,ELYSBURG,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,"Semitrailer - Dry Freight Van, Reefer Van, Insulated Van",2,,
4,Arizona,40799,2,1,1UYVS253*K2******,2022-09-06 03:12:19,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2019,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40905,2,1,1GR1P062*LT******,2022-09-06 03:12:19,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2020,,,6,UNITED STATES (USA),INDIANA,TERRE HAUTE,,,61,Trailer,,,,,,,6,Kingpin,53.000,"Semitrailer - dry freight, reefer, or insulated van",2,,
5,Arkansas,50021,2,1,17XFW282*A1******,2022-09-09 01:14:15,0,6,TRAILER,3035,DOUG BRAGG INC.DBA TEXAS BRAGG ENTERPRISES,8265,TEXAS BRAGG ENTERPRISES,22008,Texas Bragg Enterprises,2010,Over the Wheel,,6,UNITED STATES (USA),TEXAS,MOUNT PLESANT,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,28.000,,2,,
5,Arkansas,50094,2,1,4P5DM162*K1******,2022-09-09 01:14:15,0,6,TRAILER,16013,"PJ TRAILERS MANUFACTURING, INC.",6060,PJ,28324,PJ,2019,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,30,Other,16.000,Variable HITCH based on Size/Type of Trailer,2,,
5,Arkansas,50126,3,1,1GRDM062*9H******,2022-09-09 01:14:15,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2009,,,6,UNITED STATES (USA),TENNESSEE,HUNTSVILLE,,Effective 04/01/05,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,53.000,Body Type = Straight Deck/ Extendable,2,,
5,Arkansas,50179,2,1,5JYLP402*8P******,2022-09-09 01:14:15,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2008,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,19,Logging Trailer,,,40.000,Trailer Type: Plantation,2,,
5,Arkansas,50190,2,1,5JYLT402*HP******,2022-09-09 01:14:15,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2017,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,40.000,,2,,
5,Arkansas,50195,2,1,5JYLT402*JP******,2022-09-09 01:14:15,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2018,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,40.000,,2,,
5,Arkansas,50198,1,1,5JYLT402*EP******,2022-09-09 01:14:15,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2014,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,40.000,,2,,
5,Arkansas,50420,2,1,5JYLB523*7P******,2022-09-09 01:14:15,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2007,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,,,,Trailer Capacity: 52 tons,3,,
5,Arkansas,50437,2,1,5HTAB432*Y7******,2022-09-09 01:14:15,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",2365,"HEIL TRAILER INTERNATIONAL, CO.",6142,"Heil Trailer International, Co.",2000,,,6,UNITED STATES (USA),TENNESSEE,ATHENS,,Body Shape: Straight Elliptical,61,Trailer,,,,,15,Tank Trailer,,,43.000,AL 306/406,2,,
5,Arkansas,50439,2,1,5JYLT402*GP******,2022-09-09 01:14:15,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2016,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,40.000,,2,,
5,Arkansas,50452,1,1,4Z411162*1P******,2022-09-09 01:14:15,0,6,TRAILER,3493,CPS TRAILER CO,6277,CPS TRAILER COMPANY,21203,Bottom Dump Trailer,2001,Steel,,6,UNITED STATES (USA),MISSOURI,ORAN,,,61,Trailer,,,,,33,Grain Trailer,,,,Over 36 ft,2,,
5,Arkansas,50498,1,1,1C911162*TP389***,2022-09-09 01:14:15,0,6,TRAILER,3493,CPS TRAILER CO,6277,CPS TRAILER COMPANY,21211,Hopper Trailer,1996,Steel,,6,UNITED STATES (USA),MISSOURI,ORAN,,,61,Trailer,,,,,33,Grain Trailer,,,,Length: Over 36 feet,2,,
5,Arkansas,50556,2,1,1M91H362*9A211***,2022-09-09 01:14:15,0,6,TRAILER,8901,"MERTZ MANUFACTURING, INC.",2354,MERTZ MANUFACTURING,6130,"Mertz Manufacturing, LLC",2009,,,6,UNITED STATES (USA),OKLAHOMA,PONCA CITY,"Mertz Manufacturing, LLC",,61,Trailer,,,,,129,Custom Trailer,30,Other,36.000,Trailer Type - Energy Industries Equipment,2,,
5,Arkansas,50596,2,1,1TDH4002*CB******,2022-09-09 01:14:15,0,6,TRAILER,8330,TIMPTE INC.,5331,"TIMPTE, INC",13636,Timpte,2012,,,6,UNITED STATES (USA),NEBRASKA,DAVID CITY,,"Seventh VIN position indicates the additional length of the trailer to the nearest inch up to 9 inches. If the additional length is 10 inches or more the seventh character is zero (0) and the sixth character will be increased to the next foot. For example : a 42ft 9in trailer will be represent in VIN position 5, 6 & 7 as ""429"" and a 42ft 10in. trailer will be represented in VIN position 5 , 6 & 7 as ""430"" respectively.",61,Trailer,,,,,174,Dry Bulk Trailer,,,40.000,Dry Bulk-Bottom Hopper,2,,
5,Arkansas,50628,1,1,1TTF4820*72******,2022-09-09 01:14:15,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,28401,Transcraft,2007,,,6,UNITED STATES (USA),KENTUCKY,MOUNT STERLING,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Platform,2,,
6,California,60034,2,1,1M9S2814*H1041***,2022-09-23 00:42:38,0,6,TRAILER,12507,INTERSTATE MANUFACTURING CO,5060,INTERSTATE MANUFACTURING,19666,Shuffle Floor Trailer,2017,,,6,UNITED STATES (USA),IDAHO,RUPERT,,,61,Trailer,,,,,,,,,28.000,,1,,
6,California,60106,2,1,1UYVS253*4U******,2022-09-23 00:42:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2004,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,60124,2,1,1TTF4820*T1******,2022-09-23 00:42:38,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,28401,Transcraft,1996,,,6,UNITED STATES (USA),ILLINOIS,ANNA,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Platform,2,,
6,California,60138,1,1,1NNVA532*YM******,2022-09-23 00:42:38,0,6,TRAILER,15472,EVANS PRODUCTS COMPANY,6021,MONON,29523,Monon,2000,,,6,UNITED STATES (USA),INDIANA,MONON,,,61,Trailer,,,,,101,Other,,,53.000,Smooth Side Aluminum,2,3,Tandem
6,California,60153,3,1,1UYVS253*M2******,2022-09-23 00:42:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2021,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,60162,2,1,1TKB0422*9B******,2022-09-23 00:42:38,0,6,TRAILER,13498,TRAIL KING INDUSTRIES,3251,TRAIL KING INDUSTRIES,7386,TRAIL KING INDUSTRIES,2009,,,6,UNITED STATES (USA),PENNSYLVANIA,BROOKVILLE,,Configuration: Position not used at this time.,61,Trailer,,,,,,,,,42.000,"Trailer Length: Inverted Hoist= Add 2FT( but leave the unit part # as is)   Extend Apron = Add 1 Ft( if apron 14"" extended floor plate)",2,,
6,California,60177,2,1,3E1AAD23*LS******,2022-09-23 00:42:38,0,6,TRAILER,11798,BULK TANK INTERNATIONAL S DE RL DE CV,1092,BULK TANK INTERNATIONAL,22682,DOT/TC Specification (406/407/412/331/338/ETM),2020,,,12,MEXICO,GUANAJUATO,SAN JOSE ITURBIDE,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,,Length of Trailer: 40-49 feet,2,,
6,California,60187,2,1,1LH930UH*J1******,2022-09-23 00:42:38,0,6,TRAILER,3729,"LANDOLL COMPANY, LLC",2123,LANDOLL CORPORATION,24427,930,2018,,,6,UNITED STATES (USA),KANSAS,MARYSVILLE,,Dual Wheels,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,,,5,Fifth Wheel,,"Single drop bed, four beam construction, hydraulic slider tandem axles (25,999 lb capacity) with anti-lock brakes, to lower traveling tail. GVWR 86,300 pounds (39,146 kg)",,3,Tandem
6,California,60207,2,1,1UYFS124*9A******,2022-09-23 00:42:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2009,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,24.000,,1,,
6,California,60239,2,1,1T9AA111*L1030***,2022-09-23 00:42:38,0,6,TRAILER,16339,TUFF BOY SALES INC,6231,TUFF BOY SALES,17296,Tuff Boy Sales,2020,,,6,UNITED STATES (USA),CALIFORNIA,MANTECA,,,,,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,24.000,Tire & Rim Combination: Other,1,,
6,California,60243,2,1,56YTT182*EL******,2022-09-23 00:42:38,0,6,TRAILER,6469,LANCE CAMPER MFG. CORP.,2106,LANCE CAMPER,5866,Lance Camper,2014,,,6,UNITED STATES (USA),CALIFORNIA,LANCASTER,,,61,Trailer,,,,,21,Travel Trailer,1,Ball Type Pull,18.000,,2,,
6,California,60268,2,1,1T9A1112*E1030***,2022-09-23 00:42:38,0,6,TRAILER,16339,TUFF BOY SALES INC,6231,TUFF BOY SALES,17296,Tuff Boy Sales,2014,,,6,UNITED STATES (USA),CALIFORNIA,MANTECA,,,,,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,24.000,"Tire & Rim Combination: 1000 x 20 w/7.5"" Rim",2,,
6,California,60302,2,1,3H3V532C*LT******,2022-09-23 00:42:38,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2020,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
6,California,60307,1,1,16WTE402*8A******,2022-09-23 00:42:38,0,6,TRAILER,2208,CERTIFIED STAINLESS SERVICES INC DBA WESTMARK,1771,WEST-MARK,5206,"Certified Stainless Services, Inc dba West-Mark",2008,,,6,UNITED STATES (USA),CALIFORNIA,ATWATER,,,61,Trailer,,,,,15,Tank Trailer,,,40.000,NON-SPEC,2,,
6,California,60358,2,1,10BEA521*GP******,2022-09-23 00:42:38,0,6,TRAILER,5083,BRENNER TANK LLC,6976,BRENNER/BEALL/LAFAYETTE,21580,DOT 406,2016,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,61,Trailer,,,,,,,,,,Type of Material: Aluminum,2,,
6,California,60378,2,1,1TTF4820*72******,2022-09-23 00:42:38,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,28401,Transcraft,2007,,,6,UNITED STATES (USA),KENTUCKY,MOUNT STERLING,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Platform,2,,
6,California,60423,2,1,5RESX928*3S******,2022-09-23 00:42:38,0,6,TRAILER,3583,"RELIANCE TRAILER CO., LLC",11546,"RELIANCE, ALLOY, COMET, STURDYWELD",29820,"Reliance, Alloy, Comet, Sturdyweld",2003,,,6,UNITED STATES (USA),WASHINGTON,SPOKANE,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,,,,,,Wood Chip,2,,
6,California,60441,1,1,1UYFS124*L3******,2022-09-23 00:42:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2020,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,24.000,,1,,
6,California,60457,1,1,1W9TE402*CA488***,2022-09-23 00:42:38,0,6,TRAILER,2208,CERTIFIED STAINLESS SERVICES INC DBA WESTMARK,1771,WEST-MARK,5206,"Certified Stainless Services, Inc dba West-Mark",2012,,,6,UNITED STATES (USA),CALIFORNIA,ATWATER,"Certified Stainless Services, Inc. dba West-Mark",,61,Trailer,,,,,15,Tank Trailer,,,40.000,Tank Type - Non - Specific,2,,
6,California,60457,6,1,4P5LS402*L1******,2022-09-23 00:42:38,0,6,TRAILER,16013,"PJ TRAILERS MANUFACTURING, INC.",6060,PJ,28324,PJ,2020,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,61,Trailer,,,,,57,Flat Deck Trailer,30,Other,40.000,Variable HITCH based on Size/Type of Trailer,2,,
6,California,60469,2,1,1UYVS253*AU******,2022-09-23 00:42:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2010,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,60482,1,1,591SD221*JC******,2022-09-23 00:42:38,0,6,TRAILER,7719,"DRAGON ESP, LTD",1415,DRAGON ESP,4763,Dragon ESP,2018,,,6,UNITED STATES (USA),CALIFORNIA,LATHROP,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,22.000,,1,,
6,California,60482,2,1,591SD221*JC******,2022-09-23 00:42:38,0,6,TRAILER,7719,"DRAGON ESP, LTD",1415,DRAGON ESP,4763,Dragon ESP,2018,,,6,UNITED STATES (USA),CALIFORNIA,LATHROP,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,22.000,,1,,
6,California,60524,2,1,1JJV532B*JL******,2022-09-23 00:42:38,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10945,Refrigerated Van,2018,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
6,California,60542,1,1,1MT2N482*8H******,2022-09-23 00:42:38,0,6,TRAILER,8092,MERRITT TRAILERS INC.,2353,MERRITT,29522,Merritt,2008,,,6,UNITED STATES (USA),COLORADO,HENDERSON,Merritt Equipment Co.,,61,Trailer,,,,,13,Livestock Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
6,California,60561,1,1,1JJV532D*HL******,2022-09-23 00:42:38,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
6,California,60562,2,1,1UYVS248*7U******,2022-09-23 00:42:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2007,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
6,California,60576,2,1,1PT01AAH*L9******,2022-09-23 00:42:38,0,6,TRAILER,3233,TRAILMOBILE (PULLMAN INCORPORATED),6072,TRAILMOBILE,15904,Trailmobile Trailer,2020,Optimum,,6,UNITED STATES (USA),ILLINOIS,CHARLESTON,,,61,Trailer,,,,,,,,,,Straight Frame,,3,Tandem
6,California,60605,2,1,1GR1A062*LW******,2022-09-23 00:42:38,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2020,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,61,Trailer,,,,,,,6,Kingpin,53.000,"Semitrailer - dry freight, reefer, or insulated van",2,,
